created_at,text,user,retweet_count,favorite_count,followers,is_verified
Wed Jun 29 16:39:26 +0000 2022,Analysts atFXStreetbelieve theShiba Inu price trend is still bullish.,SuhelMemon4,113,403,4064,False
Mon Jun 27 13:45:37 +0000 2022,"According to the data published byCoinmarketcap, the total Shiba Inu addresses are now approaching the mark of 1.2 million. Despite the correction in the crypto market, the total number of SHIB holders has increased by approximately 20% since November 2021.",SuhelMemon4,94,301,4064,False
Sat Jun 18 13:43:33 +0000 2022,Market might be red but that isnt stopping the team behind Shiba INU 2.0 - $SHIB. Launched a few days ago but holding up quite well all things considered. Here at $116K MCAP with $14K LIQ(burnt). Chart: TG:,AltCryptoGems,24,232,475926,False
Tue Jun 28 10:25:27 +0000 2022,Inu trifecta go live on this top Estonian exchange $SHIB,Utoday_en,100,343,94788,False
Wed Jun 29 14:40:25 +0000 2022,Inu adds one zero to its price as post losses on the market $SHIB,Utoday_en,45,253,94788,False
Thu Jun 23 16:26:58 +0000 2022,Americas biggest Hispanic supermarket chain 'Cardenas Markets' will soon install Shiba Inu and Bitcoin AMTs on the store premises.,WatcherGuru,479,1479,3130386,False
Thu Jun 23 16:26:12 +0000 2022,JUST IN: Shiba Inu and ATMs are set to be installed in 59 Latino grocery stores across the U.S.,WatcherGuru,985,5676,3130386,False
Fri Jun 24 15:38:32 +0000 2022,JUST IN: Shiba Inu's blockchain 'Shibarium' is set to release on a public testnet in Q3 2022.,WatcherGuru,1264,6378,3130386,False
Tue Jun 21 19:11:59 +0000 2022,Inu Yatrmclar ok Ediyor! Ciddi Bir Art ile 14. Srada.,piyasaanalizi00,27,201,15905,False
Sat Jun 25 11:59:07 +0000 2022,"Shiba Inu'nun blok zinciri Shibarium, 2022'nin 3. eyreinde halka ak bir test anda yaynlanaca duyuruldu.",piyasaanalizi00,23,200,15905,False
Mon Jun 20 19:11:21 +0000 2022,After we will really see the power of $SHIB ,BeeTheRich,336,1182,20874,
Tue Jun 21 10:29:21 +0000 2022,It is happening! $SHIB,army_shiba,150,825,475928,
Tue Jun 21 14:08:59 +0000 2022,BREAKING: Shiba Inu ( $SHIB ) is a top gainer on CMC and BINANCE!,ShibaInuHodler,408,2215,479402,
Wed Jun 22 18:01:52 +0000 2022,$BONE &amp; $SHIB Holders are ready for,army_shiba,275,1221,475928,
Tue Jun 21 00:56:57 +0000 2022,$shib or,MajesticDrama,156,831,97068,
Wed Jun 22 23:18:49 +0000 2022,$shib is my fav meme project.,MajesticDrama,127,882,97068,
Fri Jun 24 10:50:26 +0000 2022,GM to $shib and holders,MajesticDrama,171,966,97068,
Sun Jun 26 03:37:20 +0000 2022,$SHIB WILL SURPASS $DOGE,WhalesHQ,127,903,347116,
Tue Jun 21 22:53:20 +0000 2022,New innovations allow us to reimagine what's possible. So why are you using a that takes 30 minutes to send and charges huge gas fees? Upgrade to  and make expensive + slow transactions a thing of the past $PAW $SHIB,PAWstronaut13,63,160,2211,
Sat Jun 25 08:55:22 +0000 2022,99% of $SHIB investors will become rich when it reaches 0.01$ WOOF,NinacryptoNC,117,942,2146,
Wed Jun 22 18:59:08 +0000 2022,Can $SHIB go to $0.001 In 2022? NO YES YES,CoinHubCC,188,1264,53036,
Thu Jun 23 20:18:10 +0000 2022,Are you aware that $SHIB is now deleting a 0 every day,BeeTheRich,118,782,20874,
Tue Jun 21 13:56:47 +0000 2022,$SHIB is currently up +30.2% percent.,CoinHubCC,197,1067,53036,
Fri Jun 24 16:08:50 +0000 2022,$SHIB is a monster and its about to wake up soon.,ShibalnuNews,200,1325,381535,
Sun Jun 26 15:25:57 +0000 2022,Can $SHIB go to $1 in 2022? NO YES YES,WhalesHQ,215,1437,347116,
Mon Jun 27 23:30:33 +0000 2022,$SHIB Top 10 soon?,ShibArmy_4Life,110,613,21772,
Tue Jun 21 10:34:00 +0000 2022,$SHIB IS GOING TO WRITE HISTORY!!! $1.00 WILL BE INEVITABLE!!!,CryptoVince_,92,530,17584,
Tue Jun 14 11:54:05 +0000 2022,27 exchanges. 27 folks. Dont wait for the exchanges to list. By then it will be too late. Join the today people. ,007KTexan,40,53,869,False
Sun Jun 19 15:42:51 +0000 2022,"358,941,902 $SHIB Burned Today!",ShibaInuHodler,172,1157,479400,False
Thu Jun 09 16:06:27 +0000 2022,$SHIB is now accepted wherever MasterCard and Visa are used!,ShibaInuHodler,276,1419,479400,False
Wed Jun 29 16:04:12 +0000 2022,Shiba Inu Buying Pressure Reaches Yearly Highs,ShibAlexander,81,360,36002,False
Sat Jun 11 01:24:25 +0000 2022,Shiba Inu: Over 90% of the world gearing up to accept $SHIB.,ShibaInuHodler,187,1134,479400,False
Fri Jun 10 20:27:54 +0000 2022,"The power of the community is incredible. I want to show you what Argentina made possible today.  in radio program in the city of ""Buenos Aires"" at the station:  talked about Shiba Inu. We appreciate the effort  So,  WEN $SHIB?",ShibaXanders,295,975,26930,False
Thu Jun 16 18:31:29 +0000 2022,"1/4 - As you guys know that I'm a huge supporter of Shiba Inu, But recently I noticed another $ETH token called "" $VOLT "" that has a potential to perform well in this market.",ShibaInuHodler,219,470,479400,False
Fri Jun 17 22:50:13 +0000 2022,JUST IN: Shiba Inu official Twitter has surpassed 3.4 million followers.,WatcherGuru,555,3061,3130386,False
Mon Jun 27 16:15:27 +0000 2022,Inu Soars Above 40% In Seven Days As Unification Brings Launch Closer,army_shiba,109,494,475926,False
Sun Jun 19 06:29:27 +0000 2022, I will keep supporting Shiba Inu,ShibaInuHodler,194,1795,479400,False
Wed Jun 15 11:22:54 +0000 2022,"Shiba Inu ( $SHIB ) Burn Rate Intensifies, Surges 350% in 24-Hours!",CoinHubCC,108,617,53035,False
Mon Jun 27 15:08:24 +0000 2022,Shiba Inu Soars Above 40% In Seven Days As Unification Brings Shibarium Launch Closer,LucieSHIB,137,597,167475,False
Fri Jun 10 21:29:03 +0000 2022,How many exchanges have listed Shiba Inu? Heres the complete list:,WatcherGuru,361,1581,3130386,False
Sat Jun 25 09:21:27 +0000 2022,"Shiba Inu'nun blok zinciri Shibarium, 2022'nin 3. eyreinde halka ak bir test anda yaynlanaca duyuruldu.",guncelkriptocom,23,140,61067,False
Fri Jun 17 14:53:18 +0000 2022,BREAKING: Total $SHIB Holders has reached 1.18 Million.,ShibalnuNews,310,1500,381530,
Thu Jun 09 16:52:34 +0000 2022,$SHIB is now accepted wherever MasterCard and Visa are used!,ShibalnuNews,514,2106,381530,
Tue Jun 14 13:12:08 +0000 2022,Shiba Inus Burn Rate Surges 332% as Community Burns 324 Million Coins,ShibalnuNews,185,1043,381530,
Fri Jun 17 19:13:00 +0000 2022,STAT: 25% of SHIB Wallets Have Held Shiba Inu For Over A Year.,ShibalnuNews,169,921,381530,
Wed Jun 15 19:41:23 +0000 2022,BREAKING: Shiba Inu's Shytoshi Kusama hints at the upcoming Shibarium release!,CoinHubCC,232,1068,53035,
Sun Jun 19 15:42:51 +0000 2022,"358,941,902 $SHIB Burned Today!",ShibaInuHodler,172,1157,479402,
Tue Jun 21 05:35:08 +0000 2022,$SHIB has more utility than $DOGE!,ShibaInuHodler,212,1522,479402,
Sat Jun 18 22:17:35 +0000 2022,"Dont ever give up hope on your crypto just because youve taken a big loss or your coins are down -Things can turn around in an instant. After $SHIB, we know $6 can make you a billionaire. So even with $1 left, youre still in the game",crypto_bitlord7,113,882,410847,
Mon Jun 20 12:16:05 +0000 2022,In ups &amp; downs we stay true to our $SHIB burn utility! 50 million $SHIB to be burnt through the Burn Portal!! All $Ryoshi earnt will be used to buy back and burn for our community!! Lets hit: 1 350 likes 2 200 retweets 3 200 comments to burn!,eth_shiba,206,518,5966,
Mon Jun 13 10:42:50 +0000 2022,Is my $SHIB Family still here?,YingPWD,71,939,228,
Thu Jun 16 18:23:03 +0000 2022,I believe in $shib,MajesticDrama,109,881,97068,
Mon Jun 20 07:09:21 +0000 2022,TOP BY MOST SOCIAL MENTIONS           $DOGE $SHIB $BABY $CATE $PULI $FLOKI $MARVIN $KIBA,TradedogCrypto,57,112,17622,
Sun Jun 12 08:03:21 +0000 2022,Who's excited for $SHIB to $0.01,BDCryptoGuru,143,1239,124102,
Sat Jun 11 20:24:08 +0000 2022,"Its $shib till i die, its really that simple",MajesticDrama,108,870,97068,
Mon Jun 13 10:36:12 +0000 2022,Who still believes in $SHIB ?,BDCryptoGuru,136,1294,124102,
Wed Jun 15 20:54:51 +0000 2022,$shib is forever on my watch list,MajesticDrama,81,736,97068,
Wed Jun 22 13:18:12 +0000 2022,Good morning $SHIB Family!,ShibArmy_4Life,63,402,21772,
Tue Jun 21 17:15:29 +0000 2022,Aren't YOU glad that you HAVEN'T SOLD! $SHIB,ShibArmy_4Life,82,454,21772,
Mon Jun 27 12:09:22 +0000 2022,$SHIB has flipped and is now the 13th largest currency.,ShibalnuNews,239,1472,381535,
Fri Jun 24 16:32:42 +0000 2022,Where's all the WARRIORS at? $SHIB,ShibArmy_4Life,57,257,21772,
Mon Jun 27 04:34:03 +0000 2022,What if I tell you $SHIB is going to $1 this year!!,BDCryptoGuru,94,859,124102,
Wed Jun 29 11:13:01 +0000 2022,Which are you feeling bullish about this week? $ETH $BNB $SOL $AVAX $DOGE $SHIB $RACA $ZIL $APE $AXS $MANA $AAVE $ADA $XRP $DOT $OP $TRX $MATIC $GALA $NEAR,BinanceWaves,32,101,8383,
Fri Jun 10 18:26:34 +0000 2022,62M $SHIB BURNED TODAY!,ShibaInuHodler,177,1266,479402,
Sat Jun 11 15:31:08 +0000 2022,Will Shiba Inu Reach '1 Cent' 10 Years From Now?,CryptoTrends,163,855,105782,
Fri Jun 17 09:31:21 +0000 2022,"JUST IN: First Miami Presbyterian Churchto accept donations in , , $DOGE, and Shiba Inu.",CryptoTrends,270,1246,105782,
Thu Jun 09 12:55:31 +0000 2022,Let's Go $SHIB Huge Green Candle coming!!,ShibalnuNews,164,1057,381535,
Thu Jun 09 16:45:06 +0000 2022,will revolutionize the Shiba Inu ecosystem. Be ready.,jds_updates,152,770,10381,
Mon Jun 20 06:34:43 +0000 2022,     $SHIB to $5 in 2050 thanks to the burns that will bring What do you think ?,VoltInuOfficial,147,250,140609,
Thu Jun 16 10:13:25 +0000 2022,Top 10 Meme Coins With Highest Social Engagement $DOGE  $SHIB    $PULI  $FLOKI  $MARVIN  $EARN  $KIBA  $PAW ,memecoin_degens,70,113,118860,
Fri Jun 17 14:53:18 +0000 2022,BREAKING: Total $SHIB Holders has reached 1.18 Million.,ShibalnuNews,310,1500,381535,
Wed Jun 15 18:40:23 +0000 2022,$SHIB CONTINUES TO BURN,ShibInfo,204,1574,613754,
Mon Jun 13 19:05:54 +0000 2022,Can $SHIB go to $0.001 In 2022? NO YES YES,ShibInfo,528,3292,613754,
Sat Jun 11 23:36:55 +0000 2022,Who still believes in $SHIB ?,ShibInfo,354,3235,613754,
Tue Jun 14 15:16:02 +0000 2022,Good Morning $SHIB,ShibInfo,120,961,613754,
Fri Jun 17 19:51:00 +0000 2022,Elon Musk buys $SHIB instant ATH!!!,ShibInfo,296,1966,613754,
Sun Jun 12 22:15:41 +0000 2022,"Hold, Hold, Hold, That is the key $SHIB",ShibInfo,286,2032,613754,
Tue Jun 14 16:23:45 +0000 2022,Thank YOU ALL soooo very much $SHIB FAMILY! LOVE YOU ALL!,ShibArmy_4Life,47,295,21772,
Sun Jun 19 12:53:31 +0000 2022,Who wants  to accept $SHIB?,ShibInfo,274,2009,613754,
Mon Jun 06 05:17:39 +0000 2022,Which one is your crypto starter pack? $QUACK $SHIB $LUNC ?,RichQuack,290,258,359613,
Tue Jun 14 06:42:09 +0000 2022,BEST BY ALT RANK    4  5       $SHIB $FLOKI $BABY $PETS $SHIBA $MARVIN $DOGE $EARN $PIT,TradedogCrypto,40,119,17622,
Fri Jun 17 04:49:39 +0000 2022,$SHIB is worldwide. DROP YOUR FLAG BELOW to show the world how strong the is. RT+ to help us reach every country.,theshibdream,287,1056,66911,
Sun Jun 19 21:41:24 +0000 2022,$SHIB pump has just started!!!,BeeTheRich,112,725,20874,
Thu Jun 09 22:03:43 +0000 2022,Shiba Inu: Over 90% of the world gearing up to accept $SHIB,CryptoTrends,629,2471,105782,
Wed Jun 01 07:14:46 +0000 2022,"JUST IN: Shiba Inu Whale's Trading Volume Spikes 341% with Over 33,000 New $SHIB Holders in May!",ShibaInuHodler,193,1068,479402,
Sat Jun 11 15:06:40 +0000 2022,Shiba Inu ( $SHIB ) Featured on Argentinas Top Rated FM Channel.,ShibaInuHodler,112,734,479402,
Fri Jun 17 07:30:48 +0000 2022,"Inu 2.0 New MoonShot Looks Like a Safe Play , community hyped Some good name in chat Wait a good entry point and HODL.. Tg; Web; Chart; Nfa",CryptoSuperApe,28,130,68471,
Wed Jun 22 12:00:11 +0000 2022,Three coins have made top 5 of today's search volume 1  2 $DOGE  3 $BTC 4 $ADA  5 $SHIB  What are you searching on,coinexcom,199,606,398360,False
Mon Jun 27 18:06:26 +0000 2022,Most-mentioned Projects on Twitter in The Last 7 Days $SHIB  $BABYDOGE  $KIBA  $MARVIN  $RISE  $APE  $FLOKI  $MANA  $AXS  $SAND ,ETH_Daily,168,360,114991,False
Wed Jun 22 12:34:26 +0000 2022,Top Projects with The Most Active Social Community $SHIB  $AXS  $BABYDOGE  $MANA  $SAND  $APE  $FLOKI  $RISE  $MARVIN Marvin_Inu $KIBA ,ETH_Daily,95,222,114991,False
Tue Jun 21 10:15:48 +0000 2022,TOP Tokens by Social Activity 21 June 2022 $DOGE $SHIB $PETS $MARVIN $FLOKI $KYUB $KIBA,Crypto_Dep,80,157,116530,False
Tue Jun 28 21:18:30 +0000 2022,"If $shibc goes to new ath, its going to $5-10 and will overtake $flokic in marketcap as the number 1 classic coin in the market. Things are going to get interesting! Will $shibc reclaim its number 1 spot as the meme in the market? Original $shib better watch out",iambroots,15,47,109801,False
Mon Jun 27 18:19:35 +0000 2022,"NEWS FLASH: Shiba Inu $SHIB has surpassed Dai $DAI to rank as the twelfth-largest cryptocurrency in the world by market value. The dogs are the future,and will follow and , we are the next GEM. We are based.",InuKishu,163,785,515132,False
Tue Jun 28 03:26:33 +0000 2022,Can $SHIB go to $1 before 2025? NO YES YES,WhalesHQ,140,1052,347106,False
Tue Jun 28 15:59:59 +0000 2022,"If you own $SHIB, how long are you holding for?",WhalesHQ,41,394,347106,False
Wed Jun 29 06:48:00 +0000 2022,Which is your favourite dog-themed ? $PIT -  $SHIB -  $FLOKI -  - ,BitKanOfficial,74,342,55306,False
Tue Jun 28 08:45:26 +0000 2022,These are the results of the BONE farms proposal vote $SHIB,Utoday_en,96,491,94788,False
Wed Jun 29 20:15:33 +0000 2022,"I invite all members to follow each other. We will either exist together or perish!!! $SHIB If you want to connect, RETWEET LIKE COMMENT",BeeTheRich,221,524,20874,False
Mon Jun 27 23:25:32 +0000 2022,Tell me about $SHIB.,davidgokhshtein,89,822,801742,False
Mon Jun 27 13:00:29 +0000 2022,Which will give you the biggest profits ? $BTC $ADA $KASTA $SHIB $MATIC $DOGE $EGLD $CRO $CAKE $FEG $ATLAS $CRV $ETH $SOL $MCRT $XRP $APE Share your gems,cryptojack,57,341,450055,False
Wed Jun 29 08:53:01 +0000 2022,Can $SHIB surpass $DOGE again? No Yes Yes,BDCryptoGuru,79,566,124099,False
Tue Jun 28 12:10:36 +0000 2022,We are the first DAO to participate in the wider $SHIB ecosystem  voting with over 80 Ethereum worth of $BONE currently owned by $CULT . Thats got to be worth a WOOF! surely?     ,MrOmodulus,60,178,24274,False
Tue Jun 28 15:00:42 +0000 2022,Pick a number you think will do 10X soon 1. $ETH 2. $CATE 3. $ADA 4. $MATIC 5. $SHIB 6. $FEG 7. $SHINJA 8. $KASTA 9. $KISHU 10. $TWT 11. $LTC 12. $PIG 13. $BAKE 14. $VPAD Whats your pick???,cryptojack,40,100,450055,False
Sat Jun 11 13:13:20 +0000 2022,$shib got cheaper and will continue to get cheaper. Its only right to buy a few billion $shib when it does,MajesticDrama,54,418,97068,
Mon Jun 13 08:49:54 +0000 2022,Top by Highest Market Cap $SHIB   $ELON  4 $FLOKI  5 $KISHU  6 $YOOSHI  7 $QOM  8 $SAMO  9 $FEG  $PIT ,CoinvoteCC,154,456,40827,
Fri Jun 03 17:38:39 +0000 2022,$shib is a long term play. Only OGs know this,MajesticDrama,134,1092,97068,
Sat Jun 11 16:49:05 +0000 2022,$shib is in the major league this is not a $saita project,MajesticDrama,63,586,97068,
Fri Jun 10 06:11:51 +0000 2022,"The second stage of Phase I starts in two hours! Get Welly because the roller coaster has just begun. Dear $SHIB ecosystem, this minting phase is reserved to you. ($LEASH , $SHIB , $BONE , SHIBOSHIS)",wellyfriends,339,1273,51511,
Sun Jun 05 07:53:52 +0000 2022,"A lot of crypto projects will die during these times, make sure youre riding on the right boat. Personally i believe in $shib",MajesticDrama,123,752,97068,
Sun Jun 12 04:31:39 +0000 2022,$SHIB WILL REBOUND TO $0.0077 THIS COMING MONTH!!,BDCryptoGuru,126,884,124102,
Wed Jun 29 16:40:56 +0000 2022,"NGL, $SHIB holders really do hold the line.",davidgokhshtein,60,423,801747,
Tue Jun 28 13:25:38 +0000 2022,Cant stake $SHIB or $DOGE on .,davidgokhshtein,31,237,801747,
Tue Jun 28 00:19:34 +0000 2022,don't say $SHIB is going to flip $BTC. that's crazy. just say or tell people what $SHIB is bringing to the table.,davidgokhshtein,80,746,801747,
Thu Jun 16 02:52:54 +0000 2022,Elon musk should support $SHIB like he support $DOGE Do you agree!,BDCryptoGuru,87,745,124102,
Fri Jun 24 04:15:37 +0000 2022,Theres a reason why people elected to get into $SHIB. They werent forced.,davidgokhshtein,90,577,801747,
Sun Jun 19 04:03:18 +0000 2022,"On this day last year, $BTC = $35,615.87 $ETH = $2,178.50 $SHIB = $0.000007622 $DOGE = $0.2874 $BNB = $335.71 $SOL = $35.35 $XRP = $0.7617 $ADA = $1.39 $LUNA = $5.76 $AVAX = $13.46 $MATIC = $1.36 $CRO = $0.1084 $MANA = $0.633",TheMoonCarl,88,490,1502403,
Thu Jun 23 08:55:02 +0000 2022,Choose your team: Team Team $BTC $ETH $MANA $SAND $SHIB $XRP $ADA $SOL,TheMoonCarl,76,656,1502403,
Thu Jun 16 21:58:05 +0000 2022,"On this day in 2021, $BTC = $38.347.06 $ETH = $2,367.66 $SHIB = $0.000008311 $DOGE = $0.3078 $BNB = $347.03 $SOL = $39.70 $ADA = $1.48 $XRP = $0.8319 $LUNA = $6.17 $AVAX = $14.07 $MATIC = $1.48 $CRO = $0.1141 $MANA = $0.7068",TheMoonCarl,40,224,1502403,
Fri Jun 24 23:57:10 +0000 2022,"On this day in 2021, $BTC = $34,662.44 $ETH = $1,988.46 $SHIB = $0.00000721 $DOGE = $0.2628 $BNB = $308.40 $SOL = $31.18 $XRP = $0.672 $ADA = $1.36 $LUNA = $5.45 $AVAX = $11.48 $MATIC = $1.20 $CRO = $0.1008 $MANA = $0.5266",TheMoonCarl,48,265,1502403,
Fri Jun 17 18:17:16 +0000 2022,Which are you stacking until 2023? $BTC $ETH $BNB $KASTA $ADA $VET $TRX $XRP $DOGE $SHIB $CRO $AVAX $MANA $SAND $LUNA 2.0,TheMoonCarl,43,360,1502403,
Wed Jun 22 01:00:04 +0000 2022,Do you hold any of these ? $BTC $ETH $BNB $KASTA $ADA $VET $TRX $XRP $DOGE $SHIB $CRO $AVAX $MANA $SAND $LUNA 2.0,TheMoonCarl,74,448,1502403,
Wed Jun 15 17:30:03 +0000 2022,Which of these would you buy if you had $1M? $BTC $ETH $BNB $KASTA $ADA $VET $TRX $XRP $DOGE $SHIB $CRO $AVAX $MANA $SAND $LUNA 2.0,TheMoonCarl,57,312,1502403,
